gene,count
emrB,48
emrD,21
arnT,17
oqxB,13
marR,13
acrB,13
emrA,13
acrA,13
acrR,13
fosA,12
ompA,12
oqxA,12
OmpK36,12
emrR,12
OmpK35,12
FosA5,12
sul2,12
arnC,11
MarR,11
"folA,_Dfr",11
acrD,10
ompK37,9
APH6_Id,7
APH3_Ib,7
sul1,7
AAC6_Ib_cr,7
AcrZ,7
AcrAB_TolC,7
EmrAB_TolC,7
AcrEF_TolC,7
EmrD,7
AcrAD_TolC,7
dfrA,6
dfrA14,6
tetC,6
APH3_I,6
aacA4,5
tetA,5
ompS2,5
blaCTX_M,5
arr_2,5
AAC3_IIc,5
aph3_Ib,5
mphA,4
blaOXA,4
blaTEM,4
aac3,4
APH3_Ia,4
QnrS1,4
QnrB_family,4
aac3_IIe,4
aac6,3
AAC6_Ib,3
catI,3
catII,3
TetA,3
APH6_Ic_APH6_Id,3
CatA2_family,3
MphA_family,3
"AAC3_II,III,IV,VI,VIII,IX,X",3
bla_2,2
bla_1,2
ompC,2
ompF,2
acrB_3,2
acrB_1,2
arnD,2
arnA,2
arnF,2
arnE,2
bla,2
dfrA12,2
ANT2_Ia,2
arr_3,2
AAC3_IIa,2
aac6_Ib,2
tetD,2
marR_1,2
bla_3,2
ant1,1
emrE,1
acrR_2,1
acrA_2,1
emrB_1,1
ompN_1,1
marR_2,1
acrB_2,1
arnB,1
arnB_1,1
acrA_1,1
acrE,1
aph6_I,1
arr,1
dfrA5,1
dfrA1,1
catB,1
QnrB1,1
catB3,1
tetR,1
acrF,1
Erm42,1
QnrB10,1
TetD,1
CatB_family,1
AAC6_Ib_AAC6_II,1
ompN_2,1
CatA1_CatA4_family,1
rmtF,1
QnrB20,1
erm42,1
aac3_IId,1
dfrA27,1
dfrA7,1
tetB,1
tetRB,1
tetX,1
TetX,1
aacA_aphD,1
AAC6_Ia_and_related_AACs,1
tetM,1
QnrVC4,1
AAC6_Iaf,1
TetM,1
dfrA30,1
rmtH,1
aac3_VIa,1
AAC3_VIa,1
ompR_1,1
blaNDM_1_2,0
cat_2,0
rmtB,0
blaNDM_1_3,0
blaNDM_1_1,0
cat,0
aph3_I,0
aacC4,0
blaT_6,0
APH4_Ia,0
sul3,0
QnrB19,0
AAC3_IV,0
FosA2,0
ompN,0
omp36,0
FosA3,0
arr3,0
blaCTX_M_15,0
blaLAP,0
rmt,0
emrE_1,0
aph3_VI,0
blaSHV_11,0
blaOXA_1,0
blaTEM_1,0
emrE_2,0
mphE,0
blaOXA_9,0
aph3_VIa,0
blaSHV_28,0
aac6Ib_cr,0
blaNDM_1,0
APH3_VI,0
emrB_2,0
AAC6_Ib8,0
QnrB6,0
emrA_2,0
QnrA1,0
acrZ,0
acrR_1,0
catA,0
aac6_Il,0
tetG,0
dfrA23,0
ermB,0
ErmB,0
AAC6_Ib9,0
"AAC6_Ic,f,g,h,j,k,l,r_z",0
EmrAB_OMF,0
APH3_III_APH3_IV_APH3_VI_APH3_VII,0
TetG,0
MphE_MphG_family,0
blaOKP,0
APH3_IIa,0
acrB_4,0
QnrB2,0
AAC6_Ib10,0
APH3_II_APH3_XV,0
aph3,0
dfrA17,0
QnrB4,0
ompN_3,0
bla_4,0
tetA_2,0
acrB_6,0
APH4_I,0
rmtC,0
aph3_II,0
blaOXA_181,0
qnrS,0
aph3_XV,0
blaDHA,0
qnrB,0
aph4_Ia,0
AAC6_Ib4,0
catB2,0
fos,0
APH3_VIa,0
AAC6_Ib7,0
blaKPC_2,0
blaTEM_1B,0
blaSHV_27,0
qnrS1,0
blaCTX_M_3,0
blaSHV,0
qnrB91,0
aph6_Id,0
aph3_Ia,0
ARR_3,0
aac6_Ib_D179Y,0
blaA,0
oqxA11,0
blaSHV_42,0
blaSHV_1,0
aac6_Ib_cr,0
blaTEM_1C,0
blaCTX_M_14,0
qnrB1,0
oqxB32,0
blaFONA,0
oqxB19,0
QnrA3,0
dfrA25,0
blaCTXM_15,0
aac3_IVa,0
emrA_1,0
EmrKY_TolC,0
dfrA19,0
dfrA15,0
dfrA8,0
TetB,0
bla_5,0
blaSHV_12,0
blaKPC_3,0
ant1_2,0
aac3_IV,0
ant1_3,0
QnrB5,0
AAC6_Ib3,0
aac6_Im,0
aph2_IIa,0
AAC6_Ip,0
APH2_IIa,0
APH2,0
aac6_IIc,0
blaKPC,0
aac3_IIg,0
AAC6_IIc,0
blaCMY,0
blaA_1,0
aacC,0
blaA_2,0
erm,0
ErmT,0
QnrB3,0
ompF_1,0
ompF_2,0
rmtG,0
AAC6_Iq,0
fosA5,0
qnr,0
blaNDM,0
fosX,0
FosX,0
dfrA16,0
QnrA6,0
ANT3_Ii_AAC6_Iid,0
sulA_2,0
ompA_4,0
arnC_1,0
arnC_2,0
ompA_3,0
tet,0
blaMOX,0
dfrA6,0
tetD_2,0
catB8,0
QnrB9,0
blaNDM_5,0
blaSFO_1,0
blaOXA_232,0
rmtB1,0
rmtF1,0
oqxB20,0
oqxB15,0
APH3_IIb,0
dfrA32,0
QnrB13,0
aac6_Ian,0
QnrB12,0
mphB,0
MphB_family,0
aph7_Ia,0
APH7_Ia,0
APH7_I,0
tetA_3,0
ompR,0
ompC_2,0
ompC_1,0
APH6_Ic,0
aph6_Ic,0
